store,category,max_sku,max_units
Riccarton,Action Figures,0,0
Riccarton,Badges & Pins,0,0
Riccarton,Bags & Accessories,0,0
Riccarton,Bitty Pop!,67,1344
Riccarton,Blind Box,122,1102
Riccarton,Books,0,0
Riccarton,Candy,28,334
Riccarton,Clothing & Cosplay,0,0
Riccarton,Construction,0,0
Riccarton,Dice,27,270
Riccarton,Die-Cast Cars & Figures,36,216
Riccarton,Dolls,0,0
Riccarton,Drinks,0,0
Riccarton,Games,90,90
Riccarton,Gift Cards,0,0
Riccarton,Graphic Novels,0,0
Riccarton,Homewares,0,0
Riccarton,Ichiban Kuji,4,4
Riccarton,Keychains,120,720
Riccarton,Manga,800,800
Riccarton,Miniatures,0,0
Riccarton,Model Kits,144,144
Riccarton,Novelties,0,0
Riccarton,Paints & Tools,0,0
Riccarton,Plush,36,144
Riccarton,Pop! Vinyl,336,2016
Riccarton,Posters & Prints,0,0
Riccarton,Props & Replicas,0,0
Riccarton,Protectors,0,0
Riccarton,Puzzles,0,0
Riccarton,RPG Campaigns & Guides,50,50
Riccarton,Snacks,7,66
Riccarton,Stationery,0,0
Riccarton,Statues & Busts,0,0
Riccarton,Trading Card Games,362,13023
Riccarton,Video Games,0,0
Riccarton,Vinyl Figures,32,97
Dunedin,Action Figures,,
Dunedin,Badges & Pins,,
Dunedin,Bags & Accessories,,
Dunedin,Bitty Pop!,,
Dunedin,Blind Box,,
Dunedin,Books,,
Dunedin,Candy,,
Dunedin,Clothing & Cosplay,,
Dunedin,Construction,,
Dunedin,Dice,,
Dunedin,Die-Cast Cars & Figures,,
Dunedin,Dolls,,
Dunedin,Drinks,,
Dunedin,Games,,
Dunedin,Gift Cards,,
Dunedin,Graphic Novels,,
Dunedin,Homewares,,
Dunedin,Ichiban Kuji,,
Dunedin,Keychains,,
Dunedin,Manga,,
Dunedin,Miniatures,,
Dunedin,Model Kits,,
Dunedin,Novelties,,
Dunedin,Paints & Tools,,
Dunedin,Plush,,
Dunedin,Pop! Vinyl,650,2000
Dunedin,Posters & Prints,,
Dunedin,Props & Replicas,,
Dunedin,Protectors,,
Dunedin,Puzzles,,
Dunedin,RPG Campaigns & Guides,,
Dunedin,Snacks,,
Dunedin,Stationery,,
Dunedin,Statues & Busts,,
Dunedin,Trading Card Games,,
Dunedin,Video Games,,
Dunedin,Vinyl Figures,,
Papanui,Action Figures,,
Papanui,Badges & Pins,,
Papanui,Bags & Accessories,,
Papanui,Bitty Pop!,,
Papanui,Blind Box,,
Papanui,Books,,
Papanui,Candy,,
Papanui,Clothing & Cosplay,,
Papanui,Construction,,
Papanui,Dice,,
Papanui,Die-Cast Cars & Figures,,
Papanui,Dolls,,
Papanui,Drinks,,
Papanui,Games,,
Papanui,Gift Cards,,
Papanui,Graphic Novels,,
Papanui,Homewares,,
Papanui,Ichiban Kuji,,
Papanui,Keychains,,
Papanui,Manga,,
Papanui,Miniatures,,
Papanui,Model Kits,,
Papanui,Novelties,,
Papanui,Paints & Tools,,
Papanui,Plush,,
Papanui,Pop! Vinyl,,
Papanui,Posters & Prints,,
Papanui,Props & Replicas,,
Papanui,Protectors,,
Papanui,Puzzles,,
Papanui,RPG Campaigns & Guides,,
Papanui,Snacks,,
Papanui,Stationery,,
Papanui,Statues & Busts,,
Papanui,Trading Card Games,,
Papanui,Video Games,,
Papanui,Vinyl Figures,,
Queensgate,Action Figures,,
Queensgate,Badges & Pins,,
Queensgate,Bags & Accessories,,
Queensgate,Bitty Pop!,,
Queensgate,Blind Box,,
Queensgate,Books,,
Queensgate,Candy,,
Queensgate,Clothing & Cosplay,,
Queensgate,Construction,,
Queensgate,Dice,,
Queensgate,Die-Cast Cars & Figures,,
Queensgate,Dolls,,
Queensgate,Drinks,,
Queensgate,Games,,
Queensgate,Gift Cards,,
Queensgate,Graphic Novels,,
Queensgate,Homewares,,
Queensgate,Ichiban Kuji,,
Queensgate,Keychains,,
Queensgate,Manga,,
Queensgate,Miniatures,,
Queensgate,Model Kits,,
Queensgate,Novelties,,
Queensgate,Paints & Tools,,
Queensgate,Plush,,
Queensgate,Pop! Vinyl,,
Queensgate,Posters & Prints,,
Queensgate,Props & Replicas,,
Queensgate,Protectors,,
Queensgate,Puzzles,,
Queensgate,RPG Campaigns & Guides,,
Queensgate,Snacks,,
Queensgate,Stationery,,
Queensgate,Statues & Busts,,
Queensgate,Trading Card Games,,
Queensgate,Video Games,,
Queensgate,Vinyl Figures,,
Richmond,Action Figures,,
Richmond,Badges & Pins,,
Richmond,Bags & Accessories,,
Richmond,Bitty Pop!,,
Richmond,Blind Box,,
Richmond,Books,,
Richmond,Candy,,
Richmond,Clothing & Cosplay,,
Richmond,Construction,,
Richmond,Dice,,
Richmond,Die-Cast Cars & Figures,,
Richmond,Dolls,,
Richmond,Drinks,,
Richmond,Games,,
Richmond,Gift Cards,,
Richmond,Graphic Novels,,
Richmond,Homewares,,
Richmond,Ichiban Kuji,,
Richmond,Keychains,,
Richmond,Manga,,
Richmond,Miniatures,,
Richmond,Model Kits,,
Richmond,Novelties,,
Richmond,Paints & Tools,,
Richmond,Plush,,
Richmond,Pop! Vinyl,,
Richmond,Posters & Prints,,
Richmond,Props & Replicas,,
Richmond,Protectors,,
Richmond,Puzzles,,
Richmond,RPG Campaigns & Guides,,
Richmond,Snacks,,
Richmond,Stationery,,
Richmond,Statues & Busts,,
Richmond,Trading Card Games,,
Richmond,Video Games,,
Richmond,Vinyl Figures,,
Sylvia Park,Action Figures,,
Sylvia Park,Badges & Pins,,
Sylvia Park,Bags & Accessories,,
Sylvia Park,Bitty Pop!,,
Sylvia Park,Blind Box,,
Sylvia Park,Books,,
Sylvia Park,Candy,,
Sylvia Park,Clothing & Cosplay,,
Sylvia Park,Construction,,
Sylvia Park,Dice,,
Sylvia Park,Die-Cast Cars & Figures,,
Sylvia Park,Dolls,,
Sylvia Park,Drinks,,
Sylvia Park,Games,,
Sylvia Park,Gift Cards,,
Sylvia Park,Graphic Novels,,
Sylvia Park,Homewares,,
Sylvia Park,Ichiban Kuji,,
Sylvia Park,Keychains,,
Sylvia Park,Manga,,
Sylvia Park,Miniatures,,
Sylvia Park,Model Kits,,
Sylvia Park,Novelties,,
Sylvia Park,Paints & Tools,,
Sylvia Park,Plush,,
Sylvia Park,Pop! Vinyl,,
Sylvia Park,Posters & Prints,,
Sylvia Park,Props & Replicas,,
Sylvia Park,Protectors,,
Sylvia Park,Puzzles,,
Sylvia Park,RPG Campaigns & Guides,,
Sylvia Park,Snacks,,
Sylvia Park,Stationery,,
Sylvia Park,Statues & Busts,,
Sylvia Park,Trading Card Games,,
Sylvia Park,Video Games,,
Sylvia Park,Vinyl Figures,,
Te Rapa,Action Figures,,
Te Rapa,Badges & Pins,,
Te Rapa,Bags & Accessories,,
Te Rapa,Bitty Pop!,,
Te Rapa,Blind Box,,
Te Rapa,Books,,
Te Rapa,Candy,,
Te Rapa,Clothing & Cosplay,,
Te Rapa,Construction,,
Te Rapa,Dice,,
Te Rapa,Die-Cast Cars & Figures,,
Te Rapa,Dolls,,
Te Rapa,Drinks,,
Te Rapa,Games,,
Te Rapa,Gift Cards,,
Te Rapa,Graphic Novels,,
Te Rapa,Homewares,,
Te Rapa,Ichiban Kuji,,
Te Rapa,Keychains,,
Te Rapa,Manga,,
Te Rapa,Miniatures,,
Te Rapa,Model Kits,,
Te Rapa,Novelties,,
Te Rapa,Paints & Tools,,
Te Rapa,Plush,,
Te Rapa,Pop! Vinyl,,
Te Rapa,Posters & Prints,,
Te Rapa,Props & Replicas,,
Te Rapa,Protectors,,
Te Rapa,Puzzles,,
Te Rapa,RPG Campaigns & Guides,,
Te Rapa,Snacks,,
Te Rapa,Stationery,,
Te Rapa,Statues & Busts,,
Te Rapa,Trading Card Games,,
Te Rapa,Video Games,,
Te Rapa,Vinyl Figures,,
Office,Action Figures,,
Office,Badges & Pins,,
Office,Bags & Accessories,,
Office,Bitty Pop!,,
Office,Blind Box,,
Office,Books,,
Office,Candy,,
Office,Clothing & Cosplay,,
Office,Construction,,
Office,Dice,,
Office,Die-Cast Cars & Figures,,
Office,Dolls,,
Office,Drinks,,
Office,Games,,
Office,Gift Cards,,
Office,Graphic Novels,,
Office,Homewares,,
Office,Ichiban Kuji,,
Office,Keychains,,
Office,Manga,,
Office,Miniatures,,
Office,Model Kits,,
Office,Novelties,,
Office,Paints & Tools,,
Office,Plush,,
Office,Pop! Vinyl,,
Office,Posters & Prints,,
Office,Props & Replicas,,
Office,Protectors,,
Office,Puzzles,,
Office,RPG Campaigns & Guides,,
Office,Snacks,,
Office,Stationery,,
Office,Statues & Busts,,
Office,Trading Card Games,,
Office,Video Games,,
Office,Vinyl Figures,,
